视频标题,【高清修复】东方幻想万华镜全集
视频BV号,BV1VuZ5YjEin
弹幕总数,4701

弹幕ID,出现时间(毫秒),模式,字体大小,颜色,用户MID哈希,内容,发送时间,权重,动作,弹幕池,弹幕ID字符串,属性,动画
1811885987568244736,143571,1,25,#ffffff,969341b,人呢？,2025-03-27 22:14:01,1,,0,1811885987568244736,无,
1811887362343708416,2647,5,25,#ffffff,b5a82400,春雪异变之章（选自《东方妖妖梦》）,2025-03-27 22:16:45,10,,0,1811887362343708416,无,
1811887830713176576,46295,5,25,#ffffff,b5a82400,原曲：众神眷恋的幻想乡,2025-03-27 22:17:41,10,,0,1811887830713176576,高赞,
1811889046482373632,179607,1,25,#ffffff,b5a82400,莉莉白呢？救一下救一下啊,2025-03-27 22:20:05,2,,0,1811889046482373632,无,
1811889506916526592,0,5,25,#e70012,50e6edd9,空屏是我的了,2025-03-27 22:21:00,2,,0,1811889506916526592,无,
1811889849029119232,221741,5,25,#84c0cb,b5a82400,遗忘的冬季之物——蕾蒂•霍瓦特罗克,2025-03-27 22:21:41,10,,0,1811889849029119232,高赞,
1811890475263931648,242221,5,25,#f0ab2a,b5a82400,凶兆的黑猫——橙,2025-03-27 22:22:56,10,,0,1811890475263931648,高赞,
1811890745419126272,256558,5,25,#fef102,b5a82400,七色的人偶使——爱丽丝•玛格特罗伊德,2025-03-27 22:23:28,10,,0,1811890745419126272,高赞,
1811891108192626432,272706,5,25,#84c0cb,b5a82400,宣告春天的妖精——莉莉白,2025-03-27 22:24:11,10,,0,1811891108192626432,无,
1811891338115950848,284973,5,25,#84c0cb,b5a82400,骚灵三姐妹——露娜萨/梅露兰/莉莉卡•普莉兹姆利巴,2025-03-27 22:24:39,10,,0,1811891338115950848,无,
1811891895127981056,340845,5,25,#84c0cb,b5a82400,半分虚幻的庭师——魂魄妖梦,2025-03-27 22:25:45,10,,0,1811891895127981056,高赞,
1811894485555203584,142103,5,25,#00a0ea,b5a82400,湖上的冰精——琪露诺,2025-03-27 22:30:54,10,,0,1811894485555203584,无,
1811894595664213504,144621,5,25,#fef102,b5a82400,普通的魔法使——雾雨魔理沙,2025-03-27 22:31:07,10,,0,1811894595664213504,无,
1811897620529094656,4755,1,25,#ffffff,a708eb30,首页通知书（为什么啊？）,2025-03-27 22:37:08,1,,0,1811897620529094656,无,
1811901254717856768,125889,5,25,#ffffff,fdcbbe9a,紫妹又摔了,2025-03-27 22:44:21,1,,0,1811901254717856768,无,
1811902279856131584,188191,1,25,#00a0ea,fdcbbe9a,可怜的baka,2025-03-27 22:46:23,2,,0,1811902279856131584,无,
1811903770016831232,350153,1,25,#ffffff,fdcbbe9a,羡慕麻薯,2025-03-27 22:49:21,7,,0,1811903770016831232,无,
1811904624756829696,25213,5,25,#ffffff,50e6edd9,魂魄妖梦,2025-03-27 22:51:03,10,,0,1811904624756829696,无,
1811904763873574144,25213,5,25,#e2027f,50e6edd9,西行寺幽幽子,2025-03-27 22:51:19,10,,0,1811904763873574144,高赞,
1811905169353751040,52147,5,25,#e70012,50e6edd9,博丽灵梦,2025-03-27 22:52:07,10,,0,1811905169353751040,无,
1811905608799309312,68329,5,25,#ffffff,50e6edd9,莉莉白,2025-03-27 22:53:00,2,,0,1811905608799309312,无,
1811905654911446528,68329,5,25,#90c320,50e6edd9,大妖精,2025-03-27 22:53:05,1,,0,1811905654911446528,无,
1811905736826190080,68329,5,25,#00a0ea,50e6edd9,琪露诺,2025-03-27 22:53:15,10,,0,1811905736826190080,无,
1811905898180977664,73797,5,25,#009843,50e6edd9,莉格露,2025-03-27 22:53:34,2,,0,1811905898180977664,无,
1811905948957229824,1708,5,25,#ffffff,c28f6a01,回来了，都回来了,2025-03-27 22:53:40,10,,0,1811905948957229824,高赞,
1811906029546406912,73797,5,25,#ffffff,50e6edd9,犬走椛,2025-03-27 22:53:50,10,,0,1811906029546406912,高赞,
1811906108500151552,73797,5,25,#e2027f,50e6edd9,小碎骨,2025-03-27 22:53:59,1,,0,1811906108500151552,无,
1811906346417798656,73797,5,25,#e70012,50e6edd9,射命丸文,2025-03-27 22:54:28,2,,0,1811906346417798656,无,
1811906470359631872,73797,5,25,#009843,50e6edd9,转转,2025-03-27 22:54:43,2,,0,1811906470359631872,无,
1811906501464838912,15180,1,25,#ffffff,4c2a9dbd,又回来了,2025-03-27 22:54:46,2,,0,1811906501464838912,无,
1811906538667874560,73797,5,25,#fef102,50e6edd9,露米娅,2025-03-27 22:54:51,2,,0,1811906538667874560,无,
1811907073886373888,73549,5,25,#00a0ea,50e6edd9,河城河取,2025-03-27 22:55:55,2,,0,1811907073886373888,无,
1811907534336987392,75613,4,25,#927939,50e6edd9,莉莉白，梅露兰，露娜萨,2025-03-27 22:56:49,10,,0,1811907534336987392,无,
1811907610480584704,170596,1,25,#ffffff,e8a106ae,好惨一琪露诺,2025-03-27 22:56:58,9,,0,1811907610480584704,无,
1811908422447378432,79785,5,25,#f0ab2a,50e6edd9,伊吹萃香,2025-03-27 22:58:35,10,,0,1811908422447378432,高赞,
1811909014456484608,85248,5,25,#e70012,50e6edd9,蕾米莉亚,2025-03-27 22:59:46,10,,0,1811909014456484608,无,
1811909117409902336,88048,5,25,#e70012,50e6edd9,红美玲,2025-03-27 22:59:58,2,,0,1811909117409902336,无,
1811909181490678272,88048,5,25,#ffffff,50e6edd9,十六夜咲夜,2025-03-27 23:00:06,2,,0,1811909181490678272,无,
1811909268212153856,89840,5,25,#683a7b,50e6edd9,帕秋莉,2025-03-27 23:00:16,2,,0,1811909268212153856,无,
1811909365997903872,89012,5,25,#e70012,50e6edd9,芙兰朵露,2025-03-27 23:00:28,2,,0,1811909365997903872,无,
1811909475947340288,94010,5,25,#fef102,50e6edd9,雾雨魔理沙,2025-03-27 23:00:41,2,,0,1811909475947340288,无,
1811909832773551360,95659,5,25,#ffffff,50e6edd9,蓬莱山辉夜，八意永琳,2025-03-27 23:01:23,10,,0,1811909832773551360,无,
1811910130770629376,96041,5,25,#ffffff,50e6edd9,上白泽慧音，藤原妹红,2025-03-27 23:01:59,2,,0,1811910130770629376,无,
1811910281547394304,96041,5,25,#f0ab2a,50e6edd9,八云蓝，橙,2025-03-27 23:02:17,10,,0,1811910281547394304,无,
1811910633650750208,90529,5,25,#e2027f,50e6edd9,西行寺幽幽子，魂魄妖梦,2025-03-27 23:02:59,10,,0,1811910633650750208,无,
1811914998353165568,6878,1,25,#ffffff,d8e0b037,终于回来了,2025-03-27 23:11:39,2,,0,1811914998353165568,无,
1811915127831251712,12077,1,25,#ffffff,558787f4,复活了终于,2025-03-27 23:11:55,9,,0,1811915127831251712,无,
1811915523580647424,135699,5,25,#00a0ea,5ef8ea58,充满智慧的bgm,2025-03-27 23:12:42,10,,0,1811915523580647424,无,
1811930060115648000,288101,5,25,#ffffff,d8e0b037,露娜萨（黑）梅露兰（白）莉莉卡（红）,2025-03-27 23:41:35,10,,0,1811930060115648000,无,
1811930558466071808,236620,5,25,#ffffff,d8e0b037,射命丸文,2025-03-27 23:42:34,10,,0,1811930558466071808,高赞,
1811945132329963520,99095,5,25,#ffffff,b5a82400,这个画面会在第四集出现,2025-03-28 00:11:31,10,,0,1811945132329963520,高赞,
1811952740269217792,2011,1,25,#ffffff,88b700ef,你复活辣,2025-03-28 00:26:38,1,,0,1811952740269217792,无,
1811953772780520192,10831,1,25,#ffffff,7e99a176,回来了,2025-03-28 00:28:41,2,,0,1811953772780520192,无,
1811969320470009856,158611,1,25,#ffffff,1df2123f,这音乐怎么听起来智慧的,2025-03-28 00:59:35,9,,0,1811969320470009856,无,
1811982532300990976,230139,1,25,#ffffff,8a108a99,M,2025-03-28 01:25:50,1,,0,1811982532300990976,无,
1811982633585192960,231939,5,25,#f0ab2a,8a108a99,Man,2025-03-28 01:26:02,1,,0,1811982633585192960,无,
1811997687621606912,349367,1,25,#ffffff,939dea64,那八个车万出来吧！,2025-03-28 01:55:57,10,,0,1811997687621606912,无,
1812003875025731328,300,5,25,#e70012,ce820155,探头,2025-03-28 02:08:14,3,,0,1812003875025731328,无,
1812039400008812032,59776,1,25,#ffffff,9096425b,啊啊啊啊回来啦,2025-03-28 03:18:49,1,,0,1812039400008812032,无,
1812086348715834368,210545,1,25,#ffffff,b53affe9,莎莎可爱,2025-03-28 04:52:06,9,,0,1812086348715834368,无,
1812086611237217536,237625,1,25,#ffffff,b53affe9,文文,2025-03-28 04:52:37,2,,0,1812086611237217536,无,
1812145672313668096,76679,5,25,#fef102,50e6edd9,爱丽丝,2025-03-28 06:49:58,2,,0,1812145672313668096,无,
1812150775380522240,48854,1,25,#ff7204,601a72d7,OP一跳，小手打断,2025-03-28 07:00:06,9,,0,1812150775380522240,无,
1812157940929506816,135270,5,25,#00a0ea,50e6edd9,最强的要来了,2025-03-28 07:14:20,2,,0,1812157940929506816,无,
1812174973377760256,110176,1,25,#ffffff,36254a97,红雾异变,2025-03-28 07:48:11,3,,0,1812174973377760256,无,
1812219596217097728,140801,5,25,#ffffff,c5cffe9f,楽園的巫女——博丽霊夢,2025-03-28 09:16:50,10,,0,1812219596217097728,无,
1812220965590030080,20880,1,25,#ffffff,441b2f06,又回来了，好耶,2025-03-28 09:19:33,1,,0,1812220965590030080,无,
1812221247522715392,154137,5,25,#ffffff,c5cffe9f,人类魔法使——霧雨魔理沙,2025-03-28 09:20:07,10,,0,1812221247522715392,无,
1812222513397168128,183804,5,25,#ffffff,c5cffe9f,冰之baka——琪露诺,2025-03-28 09:22:38,10,,0,1812222513397168128,高赞,
1812228108724705280,45331,1,25,#ffffff,1ce38a4a,this is true music,2025-03-28 09:33:45,3,,0,1812228108724705280,无,
1812233434937600768,48107,1,25,#ffffff,ef4abd09,想起了那年夏天,2025-03-28 09:44:20,3,,0,1812233434937600768,无,
1812285084410094080,126239,1,25,#ffffff,92dae59b,摔下去了,2025-03-28 11:26:57,2,,0,1812285084410094080,无,
1812291317364304128,97302,1,25,#ffffff,5fdfa89e,歌是不是加速了,2025-03-28 11:39:20,3,,0,1812291317364304128,无,
1812299156149689856,180148,1,25,#ffffff,c86ea8b4,悠闲,2025-03-28 11:54:54,10,,0,1812299156149689856,无,
1812303005497015552,268509,1,25,#ffffff,229c78f2,帕秋莉GO,2025-03-28 12:02:33,10,,0,1812303005497015552,高赞,
1812331602773016576,16572,1,25,#ffffff,8f87531c,回来了，都回来了,2025-03-28 12:59:22,2,,0,1812331602773016576,无,
1812340035421401088,8346,1,25,#ffffff,10e88d1a,终于回来了呜呜,2025-03-28 13:16:08,2,,0,1812340035421401088,无,
1812343611409927424,11627,1,25,#ffffff,2c059ce5,首页通知书,2025-03-28 13:23:14,2,,0,1812343611409927424,无,
1812350612013201664,2669,5,25,#ffffff,db28b4bc,嗨嗨嗨，我又来了啊,2025-03-28 13:37:08,10,,0,1812350612013201664,无,
1812351703354604288,268707,1,25,#ffffff,c5cffe9f,没有正式名字的可怜小恶魔,2025-03-28 13:39:18,1,,0,1812351703354604288,无,
1812364927433321472,9107,1,25,#ffffff,8c26d992,回来了,2025-03-28 14:05:35,2,,0,1812364927433321472,无,
1812383898832420096,289407,1,25,#ffffff,ba6cc01a,帕秋莉~GO！,2025-03-28 14:43:16,10,,0,1812383898832420096,高赞,
1812465808606636544,10456,1,25,#ffffff,cce94a25,欢迎回来,2025-03-28 17:26:01,2,,0,1812465808606636544,无,
1812483503535881472,352060,1,25,#ffffff,d63502b4,自摸,2025-03-28 18:01:10,3,,0,1812483503535881472,无,
1812487449973488384,37067,1,25,#ffffff,17e1ad45,让我看看有多少探头的,2025-03-28 18:09:01,9,,0,1812487449973488384,无,
1812487637223949312,40257,4,25,#e70012,7241ffc7,色は匂へど散りぬるを,2025-03-28 18:09:23,10,,0,1812487637223949312,无,
1812487733063781888,40257,4,25,#ffffff,7241ffc7,色は匂へど散りぬるを,2025-03-28 18:09:34,2,,0,1812487733063781888,无,
1812487794870766592,40257,4,25,#fef102,7241ffc7,色は匂へど散りぬるを,2025-03-28 18:09:42,10,,0,1812487794870766592,无,
1812490445385870336,98162,4,25,#e70012,7241ffc7,永远鲜红的幼月,2025-03-28 18:14:58,2,,0,1812490445385870336,无,
1812490963156029440,15029,4,25,#ffffff,7241ffc7,欢迎回来,2025-03-28 18:16:00,10,,0,1812490963156029440,无,
1812492121857714432,144522,5,25,#fef102,7241ffc7,DA☆ZE,2025-03-28 18:18:18,1,,0,1812492121857714432,无,
1812492880825077504,186694,5,25,#00a0ea,7241ffc7,"这一声""哼""好可爱",2025-03-28 18:19:48,9,,0,1812492880825077504,无,
1812493710525708032,228774,5,25,#00a0ea,7241ffc7,转瞬即逝,2025-03-28 18:21:27,10,,0,1812493710525708032,无,
1812512823633486592,8331,1,25,#ffffff,18104bd2,今夕是何年？,2025-03-28 18:59:26,9,,0,1812512823633486592,无,
1812524536513076992,188066,1,25,#ffffff,dfa0bae5,好聪明的数字。,2025-03-28 19:22:42,9,,0,1812524536513076992,无,
1812528408619022592,45995,1,25,#ffffff,32739b87,闹钟响了,2025-03-28 19:30:23,2,,0,1812528408619022592,无,
1812529839698620416,180273,1,25,#ffffff,32739b87,巫女的任务是给神社挣钱,2025-03-28 19:33:14,1,,0,1812529839698620416,无,
1812535121602320128,176054,5,25,#e70012,492c41aa,。。。,2025-03-28 19:43:44,10,,0,1812535121602320128,无,
1812535448229137664,179311,5,25,#ffffff,492c41aa,灵梦：不得急，急不得。,2025-03-28 19:44:23,10,,0,1812535448229137664,高赞,
1812536557145150208,15871,1,25,#ffffff,512ee41d,卧槽，首页通知书。,2025-03-28 19:46:35,9,,0,1812536557145150208,无,
1812590174845592320,0,5,25,#e70012,82546590,复活!!!,2025-03-28 21:33:06,3,,0,1812590174845592320,无,
1812603038456683776,5870,1,25,#ffffff,8545a6c,哦豁,2025-03-28 21:58:40,2,,0,1812603038456683776,无,
1812607114724571136,106031,1,25,#ffffff,20cf83a8,撒西不理,2025-03-28 22:06:46,1,,0,1812607114724571136,无,
1812611294969604352,46763,1,25,#ffffff,3a945685,听了几年还是好听,2025-03-28 22:15:04,9,,0,1812611294969604352,无,
1812617739651934720,23320,1,25,#ffffff,780c9464,第一次看，好看吗,2025-03-28 22:27:52,2,,0,1812617739651934720,无,
1812627011345804800,683,1,25,#ffffff,12fb51e,今生轮回已用尽，来世愿生幻想乡,2025-03-28 22:46:18,2,,0,1812627011345804800,无,
1812627178614525696,1925,1,25,#ffffff,12fb51e,此生无悔入东方，来世愿生幻想乡,2025-03-28 22:46:38,2,,0,1812627178614525696,无,
1812627300928823552,4606,1,25,#90c320,12fb51e,看看我发现了什么,2025-03-28 22:46:52,1,,0,1812627300928823552,无,
1812628743123470080,22843,5,18,#e2027f,12fb51e,华胥的亡灵——西行寺幽幽子,2025-03-28 22:49:44,10,,0,1812628743123470080,无,
1812629166026701824,22843,5,18,#e2027f,12fb51e,初登场于东方妖妖梦,2025-03-28 22:50:35,10,,0,1812629166026701824,无,
1812629816814905856,25410,5,18,#90c320,12fb51e,半人半靈的庭師——魂魄妖夢,2025-03-28 22:51:52,2,,0,1812629816814905856,无,
1812630164363409664,9112,4,18,#ffffff,12fb51e,此集劇情為《東方妖妖夢》,2025-03-28 22:52:34,10,,0,1812630164363409664,无,
1812630711535494144,41785,1,18,#ffffff,12fb51e,好听,2025-03-28 22:53:39,2,,0,1812630711535494144,无,
1812631127115026944,167811,5,25,#00a0ea,577c2fef,9味很重,2025-03-28 22:54:28,1,,0,1812631127115026944,无,
1812631438047759616,51175,5,25,#e70012,12fb51e,乐园的美妙巫女-博丽灵梦,2025-03-28 22:55:05,1,,0,1812631438047759616,无,
1812631827773677056,238855,5,25,#00a0ea,577c2fef,记住，要考,2025-03-28 22:55:52,10,,0,1812631827773677056,无,
1812632272764428544,85433,5,25,#e70012,12fb51e,永远鲜红的幼月—蕾米莉亚,2025-03-28 22:56:45,2,,0,1812632272764428544,无,
1812632410396406272,85433,5,25,#00a0ea,12fb51e,完美潇洒的女仆—十六夜咲夜,2025-03-28 22:57:01,10,,0,1812632410396406272,无,
1812632610472991232,87478,5,25,#ffffff,12fb51e,红魔馆的门卫—红美铃,2025-03-28 22:57:25,2,,0,1812632610472991232,无,
1812632716060309248,327863,5,25,#fef102,577c2fef,da☆ze,2025-03-28 22:57:38,10,,0,1812632716060309248,无,
1812632949448359168,88654,5,25,#683a7b,12fb51e,不动的大图书馆—帕秋莉·诺蕾姬,2025-03-28 22:58:06,10,,0,1812632949448359168,高赞,
1812633316391259392,89932,5,25,#e70012,12fb51e,恶魔之妹——芙兰朵露·斯卡雷特,2025-03-28 22:58:49,2,,0,1812633316391259392,无,
1812633424277250304,20731,1,25,#ffffff,70666725,wc,2025-03-28 22:59:02,3,,0,1812633424277250304,无,
1812633569089652224,94239,5,25,#fef102,12fb51e,普通的魔法使—雾雨魔理沙,2025-03-28 22:59:19,2,,0,1812633569089652224,无,
1812634379211212288,95702,5,25,#84c0cb,12fb51e,永远与须臾的罪人——蓬莱山·辉夜,2025-03-28 23:00:56,2,,0,1812634379211212288,无,
1812634525038652928,95702,5,25,#002e72,12fb51e,月之头脑——八意永琳,2025-03-28 23:01:13,2,,0,1812634525038652928,无,
1812634629090967040,96491,5,25,#f0ab2a,12fb51e,知识与历史的半兽――上白泽慧音,2025-03-28 23:01:26,2,,0,1812634629090967040,无,
1812634713354563072,96491,5,25,#e70012,12fb51e,蓬莱人之形——藤原妹红,2025-03-28 23:01:36,2,,0,1812634713354563072,无,
1812635166037476352,96794,5,25,#f0ab2a,12fb51e,凶兆的黑猫—橙,2025-03-28 23:02:30,2,,0,1812635166037476352,无,
1812635594443593984,96794,5,25,#fef102,12fb51e,隙间妖怪的式神——八云蓝,2025-03-28 23:03:21,2,,0,1812635594443593984,无,
1812636169566501376,113928,1,25,#ffffff,12fb51e,The World！,2025-03-28 23:04:29,9,,0,1812636169566501376,无,
1812637476167716096,212184,5,25,#fef102,12fb51e,金发小女孩,2025-03-28 23:07:05,10,,0,1812637476167716096,高赞,
1812637940401833728,236789,5,25,#84c0cb,12fb51e,传统幻想书屋——射命丸文,2025-03-28 23:08:01,10,,0,1812637940401833728,无,
1812639352128892928,4045,5,25,#ffffff,10605e0e,堂堂复活！,2025-03-28 23:10:49,2,,0,1812639352128892928,无,
1812639605498329344,455,5,25,#ffffff,12fb51e,你管这叫同人动画？！,2025-03-28 23:11:19,1,,0,1812639605498329344,无,
1812651240363203840,193832,5,25,#00a0ea,a686cf98,自我介绍,2025-03-28 23:34:26,10,,0,1812651240363203840,无,
1812653534345905152,53569,1,25,#ffffff,d5c83fd9,欢迎回到幻想乡,2025-03-28 23:39:00,3,,0,1812653534345905152,无,
1812656078711409152,0,5,25,#fef102,f610b381,舍利子回魂！,2025-03-28 23:44:03,2,,0,1812656078711409152,无,
1812663714290611456,115542,1,25,#009843,2fb4a8f0,歌是风神录三面道中《众神眷恋的幻想乡》的同人曲,2025-03-28 23:59:13,10,,0,1812663714290611456,高赞,
1812664291007520512,129252,1,25,#683a7b,2fb4a8f0,紫妹又双叒叕掉下去了,2025-03-29 00:00:22,9,,0,1812664291007520512,无,
1812664430795227392,136497,5,25,#00a0ea,2fb4a8f0,琪露诺の小曲,2025-03-29 00:00:38,10,,0,1812664430795227392,高赞,
1812664918492250112,193939,5,25,#00a0ea,2fb4a8f0,baka baka baka baka baka baka,2025-03-29 00:01:37,10,,0,1812664918492250112,高赞,
1812665334130820608,229512,5,25,#fef102,2fb4a8f0,魔理沙速通一面,2025-03-29 00:02:26,10,,0,1812665334130820608,高赞,
1812665880833397760,276759,5,25,#fef102,2fb4a8f0,除了帕秋莉都是按照原作妖妖梦遇敌顺序出场的哦,2025-03-29 00:03:31,10,,0,1812665880833397760,高赞,
1812666644901281024,349763,5,25,#ffffff,2fb4a8f0,白玉楼厨师长,2025-03-29 00:05:02,1,,0,1812666644901281024,无,
1812684150793684480,682,1,25,#ffffff,9f7d6bdc,主页来的,2025-03-29 00:39:49,2,,0,1812684150793684480,无,
1812684931747513344,139274,1,25,#ffffff,a33358b9,baka,2025-03-29 00:41:22,1,,0,1812684931747513344,无,
1812702159171836672,287162,5,25,#ffffff,a33358b9,记不住名字骚灵三姐妹,2025-03-29 01:15:36,1,,0,1812702159171836672,无,
1812709229031697664,100,5,25,#ffffff,8b669049,啊♂幻想乡,2025-03-29 01:29:39,1,,0,1812709229031697664,无,
1812731836624430080,60247,1,25,#ffffff,7f03e9fc,第一次看,2025-03-29 02:14:34,9,,0,1812731836624430080,无,
1812733564635754752,165762,1,25,#ffffff,7f03e9fc,琪露诺的冒险,2025-03-29 02:18:00,9,,0,1812733564635754752,无,
1812734997451776256,331501,1,25,#ffffff,7f03e9fc,气氛有点阴森了,2025-03-29 02:20:51,3,,0,1812734997451776256,无,
1812736362932605184,72422,5,25,#00a0ea,a5227404,琪露诺,2025-03-29 02:23:33,10,,0,1812736362932605184,无,
1812737475119591424,92198,5,25,#00a0ea,a5227404,西行寺幽幽子，魂魄妖梦,2025-03-29 02:25:46,3,,0,1812737475119591424,无,
1812737828145148416,113182,5,25,#84c0cb,8815cf75,十六夜咲夜,2025-03-29 02:26:28,10,,0,1812737828145148416,高赞,
1812737906201645312,96084,5,25,#e70012,a5227404,上白泽慧音，藤原妹红,2025-03-29 02:26:37,3,,0,1812737906201645312,无,
1812738255394403328,96978,5,25,#002e72,a5227404,八云橙，八云蓝,2025-03-29 02:27:19,3,,0,1812738255394403328,无,
1812738360905853696,145182,5,25,#00a0ea,8815cf75,红魔馆智慧之神→琪露诺,2025-03-29 02:27:32,2,,0,1812738360905853696,无,
1812739692480351488,236702,5,25,#ffffff,a5227404,aya,2025-03-29 02:30:10,3,,0,1812739692480351488,无,
1812741081189227008,347566,5,25,#ffffff,a5227404,幽幽子饲养员,2025-03-29 02:32:56,10,,0,1812741081189227008,高赞,
1812895049072108288,65244,5,25,#00a0ea,20e7f08e,第一次看,2025-03-29 07:38:50,10,,0,1812895049072108288,无,
1812918077596761088,240476,1,25,#ffffff,41040d83,无处不在的文文,2025-03-29 08:24:36,2,,0,1812918077596761088,无,
1812981626268454656,325470,5,25,#ffffff,5e182e67,泰山山脚到售票处be like：,2025-03-29 10:30:51,10,,0,1812981626268454656,高赞,
1812982021229260032,351678,1,25,#ffffff,5e182e67,要抱抱yoooooooo梦！,2025-03-29 10:31:38,4,,0,1812982021229260032,无,
1813005344411098624,4391,1,25,#ffffff,2421c133,坏时代来哩,2025-03-29 11:17:59,1,,0,1813005344411098624,无,
1813058635065685504,355458,5,25,#ffffff,aa5f9681,以防新人不认识，这是魂魄妖梦，她有个爷爷叫魂魄妖忌,2025-03-29 13:03:51,10,,0,1813058635065685504,无,
1813071246112752896,321560,1,25,#ffffff,d424a977,盯,2025-03-29 13:28:55,3,,0,1813071246112752896,无,
1813101046290300672,348643,5,25,#009843,bc37e182,我也想揉揉半灵,2025-03-29 14:28:07,10,,0,1813101046290300672,无,
1813166666662913792,17395,5,18,#ffffff,c5cffe9f,时间点:第一百一十九季的春天,2025-03-29 16:38:30,10,,0,1813166666662913792,无,
1813207151209557760,226522,5,25,#ffffff,d8e0b037,少女饱食中,2025-03-29 17:58:56,10,,0,1813207151209557760,无,
1813255251622033664,0,1,25,#ffffff,3f406b7b,《東方妖妖零》,2025-03-29 19:34:30,2,,0,1813255251622033664,无,
1813299481018605568,46379,1,25,#ffffff,f4bd3cc,啊哈哈,2025-03-29 21:02:22,3,,0,1813299481018605568,无,
1813300445607864576,113334,1,25,#ffffff,f4bd3cc,十六夜咲夜,2025-03-29 21:04:17,9,,0,1813300445607864576,无,
1813332638082149632,2081,1,25,#ffffff,299605ba,火钳刘明,2025-03-29 22:08:15,1,,0,1813332638082149632,无,
1813335860666745344,326199,1,25,#ffffff,299605ba,呀嘞呀嘞daze,2025-03-29 22:14:39,9,,0,1813335860666745344,无,
1813342379269373952,1167,1,25,#ffffff,a7320f25,今夕是何年,2025-03-29 22:27:36,1,,0,1813342379269373952,无,
1813360253354797568,327762,1,25,#ffffff,aff15bb4,365里路啊,2025-03-29 23:03:07,1,,0,1813360253354797568,无,
1813369685212286208,338032,1,25,#ffffff,54cb046e,那可不阴森吗 这可是冥界,2025-03-29 23:21:51,1,,0,1813369685212286208,无,
1813374468387750912,194444,5,25,#00a0ea,639bb85e,baka baka baka baka baka baka baka baka baka baka baka baka baka baka baka ,2025-03-29 23:31:22,10,,0,1813374468387750912,无,
1813374640605717760,192951,1,25,#00a0ea,639bb85e,baka baka baka baka baka baka baka baka baka baka baka baka baka baka baka ,2025-03-29 23:31:42,9,,0,1813374640605717760,无,
1813390511558393088,145052,1,25,#ffffff,275bafbd,da☆ze,2025-03-30 00:03:14,9,,0,1813390511558393088,无,
1813540865613034496,58620,1,25,#ffffff,1ff5b890,爷青回,2025-03-30 05:01:58,3,,0,1813540865613034496,无,
1813669203270755584,3819,1,25,#ffffff,778223df,爷青会,2025-03-30 09:16:57,3,,0,1813669203270755584,无,
1813673534460090368,830,1,25,#ffffff,ade04506,今夕是何年,2025-03-30 09:25:33,2,,0,1813673534460090368,无,
1813682676792721152,52115,1,25,#ffffff,ade04506,Senya姐为什么是神,2025-03-30 09:43:43,2,,0,1813682676792721152,无,
1813683602668530432,138473,1,25,#ffffff,ade04506,智慧の小曲,2025-03-30 09:45:33,9,,0,1813683602668530432,无,
1813687758728828928,165822,1,25,#ffffff,ade04506,灵梦：变你大爷,2025-03-30 09:53:49,1,,0,1813687758728828928,无,
1813690084562759424,193555,1,25,#ffffff,ade04506,八嘎八嘎八嘎八嘎八嘎八嘎,2025-03-30 09:58:26,9,,0,1813690084562759424,无,
1813691419056180480,229310,1,25,#ffffff,ade04506,光速一面,2025-03-30 10:01:05,9,,0,1813691419056180480,无,
1813717786522864640,48512,1,25,#ffffff,46dc8671,好熟悉的音乐。,2025-03-30 10:53:28,2,,0,1813717786522864640,无,
1813750691861749504,999,1,25,#ffffff,32e1d863,今夕是何年,2025-03-30 11:58:51,2,,0,1813750691861749504,无,
1813801589883314688,9991,1,25,#ffffff,416ff721,？？？,2025-03-30 13:39:58,9,,0,1813801589883314688,无,
1813990317062907136,1959,5,25,#e70012,35f32c3f,我去，今夕是何年,2025-03-30 19:54:56,2,,0,1813990317062907136,无,
1813991278514966784,176857,1,25,#ffffff,ecbb46bc,穷鬼懒人一只,2025-03-30 19:56:51,1,,0,1813991278514966784,无,
1813998653577143808,169453,5,25,#00a0ea,97031b02,HA~NA~SE~,2025-03-30 20:11:30,10,,0,1813998653577143808,无,
1814019987107638784,164401,1,25,#89d5ff,2875997e,放せ!!!!,2025-03-30 20:53:53,1,,0,1814019987107638784,无,
1814096369250640896,3829,1,25,#ffffff,879ab693,堂堂复活！,2025-03-30 23:25:39,2,,0,1814096369250640896,无,
1814114335677681920,7059,1,25,#ffffff,9cf087b7,今夕是何年,2025-03-31 00:01:21,2,,0,1814114335677681920,无,
1814143436614456320,57555,1,25,#ffffff,e618ddb6,好听,2025-03-31 00:59:10,3,,0,1814143436614456320,无,
1814328320327340800,265148,1,25,#ffffff,7eb28915,不是爱丽丝威震天吗(,2025-03-31 07:06:30,10,,0,1814328320327340800,无,
1814467267568855040,27485,5,25,#683a7b,9ab84e24,幽幽子老婆~,2025-03-31 11:42:33,2,,0,1814467267568855040,无,
1814469475878318080,6420,1,25,#ffffff,c63487fc,今夕是何年,2025-03-31 11:46:57,3,,0,1814469475878318080,无,
1814488026563945216,307657,1,25,#ffffff,629c600e,占领空屏,2025-03-31 12:23:48,3,,0,1814488026563945216,无,
1814543311290164736,69495,1,25,#ffffff,c2f51db,那梦幻与i美好的幻想乡,2025-03-31 14:13:38,3,,0,1814543311290164736,无,
1814563729640714496,116365,1,25,#ffffff,b8544a83,新人,2025-03-31 14:54:13,8,,0,1814563729640714496,无,
